Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Jahdae Barron 2025 Elite #168 Red","Raw","-95.83","-$28.74","$29.99","$1.25 (01/14/2026)","$9.74","$1.25","$29.99","0.00","5","$48.72"
"Matthew Golden 2025 Origins #101 Base","Raw","-95.83","-$28.74","$29.99","$1.25 (02/05/2026)","$4.58","$0.99","$29.99","0.00","99","$453.55"
"Jayden Daniels 2024 Donruss #389 Optic Preview - Pink","Raw","-95.81","-$222.75","$232.50","$9.75 (02/05/2026)","$48.94","$0.99","$249.00","18844.44","1705","$83449.45"
"Spencer Rattler 2024 Prizm #388 Hyper","Raw","-95.79","-$28.44","$29.69","$1.25 (10/26/2025)","$25.43","$1.25","$49.99","100.00","12","$305.13"
"Spencer Rattler 2024 Score #345 Extraterrestrial","Raw","-95.79","-$22.51","$23.50","$0.99 (01/05/2026)","$20.90","$0.99","$30.00","66.67","5","$104.49"
"Jared McCain 2024 Optic #23 Net Marvels - Holo","Raw","-95.78","-$57.47","$60.00","$2.53 (02/01/2026)","$11.10","$0.99","$60.00","0.00","168","$1864.02"
"Rob Dillingham 2024 Select #187 Premier Level Red Disco","Raw","-95.77","-$29.69","$31.00","$1.31 (01/21/2026)","$20.39","$1.31","$31.00","0.00","6","$122.37"
"Omarion Hampton 2025 Optic #212 Pink","Raw","-95.76","-$56.50","$59.00","$2.50 (02/06/2026)","$11.58","$0.99","$59.00","0.00","6","$69.49"
"Jerome Bettis 1998 Topps Chrome #140 Refractor","Raw","-95.76","-$22.37","$23.36","$0.99 (02/02/2026)","$10.87","$0.99","$23.36","50.00","6","$65.20"
"Terrence Shannon Jr. 2024 Prizm #224 Skewed","Raw","-95.75","-$50.63","$52.88","$2.25 (01/26/2026)","$17.43","$1.43","$52.88","0.00","33","$575.21"
"Joe Milton III 2024 Prizm Deca #218 Purple","Raw","-95.74","-$146.00","$152.50","$6.50 (01/25/2026)","$84.63","$6.50","$203.50","0.00","26","$2200.42"
"JJ McCarthy 2024 Select #246 Club Level Red & Blue Shock","Raw","-95.73","-$75.63","$79.00","$3.38 (02/02/2026)","$12.61","$0.99","$79.00","0.00","116","$1462.52"
"GG Jackson II 2023 Contenders Optic #6 Rookie Ticket - Blue","Raw","-95.72","-$72.75","$76.00","$3.25 (11/11/2025)","$12.44","$2.00","$76.00","0.00","17","$211.52"
"Jordan Travis 2024 Optic #260 Rated Rookie Autographs - Purple Stars","Raw","-95.71","-$33.50","$35.00","$1.50 (10/21/2025)","$13.73","$1.50","$35.00","0.00","11","$151.00"
"Michael Penix Jr. 2024 Donruss #308 Press Proof Silver","Raw","-95.71","-$86.09","$89.95","$3.86 (11/17/2025)","$33.90","$3.86","$89.95","0.00","9","$305.11"
"Zion Williamson 2019 Mosaic #209 Reactive Blue","Raw","-95.70","-$28.71","$30.00","$1.29 (02/03/2026)","$6.67","$1.00","$30.00","-15.38","33","$219.97"
"Bronny James Jr. 2024 Prizm #243 Pink Ice","Raw","-95.69","-$22.00","$22.99","$0.99 (02/04/2026)","$6.94","$0.99","$56.00","0.00","706","$4900.05"
"Rob Dillingham 2024 Prizm Black #39 Blue Ice","Raw","-95.69","-$27.75","$29.00","$1.25 (12/28/2025)","$6.54","$0.99","$29.00","0.00","12","$78.49"
"Tua Tagovailoa 2024 Mosaic #251 National Pride - Red Sparkle","Raw","-95.65","-$27.50","$28.75","$1.25 (01/05/2026)","$7.64","$0.99","$28.75","0.00","7","$53.48"
